주택명,방이름,입주타입,면적,보증금,월임대료,관리비,층,호,입주가능일,입주가능,수집일시
오늘공동체주택,101호,기타,28.49m²,"50,000,000원","320,000원",0원,1,1,1,,2025-08-28 09:05:40
오늘공동체주택,201호,기타,80.02m²,"50,000,000원","1,230,000원",0원,2,1,5,,2025-08-28 09:05:40
오늘공동체주택,202호,기타,24.03m²,"50,000,000원","320,000원",0원,2,2,1,,2025-08-28 09:05:40
오늘공동체주택,301호,기타,80.36m²,"50,000,000원","1,260,000원",0원,3,1,5,,2025-08-28 09:05:40
오늘공동체주택,302호,기타,35.41m²,"50,000,000원","490,000원",0원,3,2,2,,2025-08-28 09:05:40
오늘공동체주택,근생,기타,31.83m²,"50,000,000원","570,000원",0원,1,1,0,,2025-08-28 09:05:40
어반그로잉 동숭,201,기타,31.76m²,"50,000,000원","1,300,000원","99,000원",2,1,2,,2025-08-28 09:05:40
어반그로잉 동숭,202,기타,18.26m²,"50,000,000원","670,000원","99,000원",2,2,1,,2025-08-28 09:05:40
어반그로잉 동숭,203,기타,18.26m²,0원,0원,0원,2,3,1,,2025-08-28 09:05:40
어반그로잉 동숭,204,기타,31.76m²,"50,000,000원","1,000,000원","99,000원",2,4,2,,2025-08-28 09:05:40
어반그로잉 동숭,301,기타,31.76m²,0원,0원,0원,3,1,2,,2025-08-28 09:05:40
어반그로잉 동숭,302,기타,18.26m²,0원,0원,0원,3,2,1,,2025-08-28 09:05:40
어반그로잉 동숭,303,기타,18.26m²,0원,0원,0원,3,3,1,,2025-08-28 09:05:40
어반그로잉 동숭,304,기타,26.1m²,0원,0원,0원,3,4,2,,2025-08-28 09:05:40
어반그로잉 동숭,401,기타,31.76m²,0원,0원,0원,4,1,2,,2025-08-28 09:05:40
어반그로잉 동숭,402,기타,18.26m²,0원,0원,0원,4,2,1,,2025-08-28 09:05:40
어반그로잉 동숭,403,기타,18.26m²,0원,0원,0원,4,3,1,,2025-08-28 09:05:40
어반그로잉 동숭,501,기타,31.76m²,"50,000,000원","1,300,000원","99,000원",5,1,2,,2025-08-28 09:05:40
어반그로잉 동숭,502,기타,29.04m²,0원,0원,0원,5,2,2,,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,B401,기타,58.58m²,"435,000,000원",0원,"70,000원",4,401,2,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,B403,기타,29.03m²,"222,000,000원",0원,"60,000원",4,403,1,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,B301,기타,58.58m²,"431,000,000원",0원,"70,000원",3,301,2,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,B303,기타,34.67m²,"263,000,000원",0원,"60,000원",3,303,1,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,B201,기타,58.58m²,"431,000,000원",0원,"70,000원",2,201,2,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,B202,기타,38.48m²,"55,000,000원","950,000원","60,000원",2,202,1,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,B203,기타,40.31m²,"303,000,000원",0원,"60,000원",2,203,1,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,B102,기타,40.31m²,"289,000,000원",0원,"60,000원",1,102,1,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,A201,1인1실,29.93m²,"55,000,000원","730,000원","70,000원",2,201,1,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,A202,1인1실,27.02m²,"216,000,000원",0원,"70,000원",2,202,1,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,A203,기타,38.26m²,"305,000,000원",0원,"60,000원",2,203,1,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,A204,기타,37.02m²,"295,000,000원",0원,"60,000원",2,204,1,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,A301,기타,29.93m²,"239,000,000원",0원,"60,000원",3,301,1,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,A302,기타,27.02m²,"216,000,000원",0원,"60,000원",3,302,1,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,A303,기타,29.87m²,"244,000,000원",0원,"60,000원",3,303,1,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,A304,기타,28.38m²,"232,000,000원",0원,"60,000원",3,304,1,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,A401,기타,51.4m²,"419,000,000원",0원,"70,000원",4,401,2,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,A402,기타,48.69m²,"392,000,000원",0원,"70,000원",4,402,2,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,A501,기타,42.81m²,"356,000,000원",0원,"60,000원",5,501,1,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,A502,기타,30.02m²,"245,000,000원",0원,"60,000원",5,502,1,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,B402,기타,27.68m²,"209,000,000원",0원,"60,000원",4,402,1,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,B302,기타,33.08m²,"259,000,000원",0원,"60,000원",3,302,1,20240920,2025-08-28 09:05:40
연희동 청년연구자 주택 애스트리 23,B102,기타,40.31m²,"305,000,000원",0원,"60,000원",1,102,1,20240920,2025-08-28 09:05:40
비투코하우징홍은,201,1인1실,32.96m²,"5,500원",76원,8원,2,1,1,2023.12.01,2025-08-28 09:05:40
비투코하우징홍은,202,1인1실,30.8m²,"20,900원",0원,8원,2,2,1,2023.12.01,2025-08-28 09:05:40
비투코하우징홍은,301,1인1실,28.75m²,"15,000원",23원,8원,3,1,1,2023.12.01,2025-08-28 09:05:40
비투코하우징홍은,302,1인1실,26.8m²,"10,000원",40원,8원,3,2,1,2023.12.01,2025-08-28 09:05:40
비투코하우징홍은,401,1인1실,27.3m²,"10,000원",42원,8원,4,1,1,2023.12.01,2025-08-28 09:05:40
비투코하우징홍은,402,1인1실,26.4m²,"10,000원",39원,8원,4,2,1,2023.12.01,2025-08-28 09:05:40
비투코하우징홍은,501,1인1실,49.8m²,"2,000원",138원,8원,5,1,1,2023.12.01,2025-08-28 09:05:40
써드플레이스 신림1,201,1인1실,26.95m²,"55,000,000원","920,000원","80,000원",2,1,1,-,2025-08-28 09:05:40
써드플레이스 신림1,202,1인1실,22.92m²,"55,000,000원","800,000원","80,000원",2,1,1,-,2025-08-28 09:05:40
써드플레이스 신림1,301,1인1실,25.07m²,"55,000,000원","870,000원","80,000원",3,1,1,-,2025-08-28 09:05:40
써드플레이스 신림1,302,1인1실,22.04m²,"55,000,000원","760,000원","80,000원",3,1,1,-,2025-08-28 09:05:40
써드플레이스 신림1,401,1인1실,27.7m²,"220,000,000원","365,000원","80,000원",4,1,1,-,2025-08-28 09:05:40
써드플레이스 홍은6,201,1인1실,27.52m²,"200,000,000원",0원,"80,000원",2,201,1,-,2025-08-28 09:05:40
써드플레이스 홍은6,202,1인1실,32.27m²,"55,000,000원","590,000원","80,000원",2,202,1,-,2025-08-28 09:05:40
써드플레이스 홍은6,301,1인1실,39.43m²,"150,000,000원","570,000원","80,000원",3,301,1,-,2025-08-28 09:05:40
써드플레이스 홍은6,302,1인1실,25.03m²,"150,000,000원","160,000원","80,000원",3,302,1,-,2025-08-28 09:05:40
써드플레이스 홍은6,401,1인1실,29.13m²,"55,000,000원","750,000원","80,000원",4,401,1,-,2025-08-28 09:05:40
써드플레이스 홍은6,402,1인1실,26.91m²,"55,000,000원","750,000원","80,000원",4,402,1,-,2025-08-28 09:05:40
써드플레이스 홍은6,501,1인1실,49.67m²,"55,000,000원","1,300,000원","80,000원",5,501,1,-,2025-08-28 09:05:40
북클럭 플레이스(방배),201호,1인1실,35.66m²,"30,000,000원","900,000원","100,000원",2,1,1,,2025-08-28 09:05:40
북클럭 플레이스(방배),202호,1인1실,42.53m²,"50,000,000원","750,000원","100,000원",2,2,1,,2025-08-28 09:05:40
북클럭 플레이스(방배),203호,1인1실,41.92m²,"50,000,000원","700,000원","100,000원",2,3,1,,2025-08-28 09:05:40
북클럭 플레이스(방배),204호,1인1실,30.21m²,"30,000,000원","800,000원","100,000원",2,4,1,,2025-08-28 09:05:40
북클럭 플레이스(방배),301호,1인1실,35.66m²,"20,000,000원","950,000원","100,000원",3,1,1,,2025-08-28 09:05:40
북클럭 플레이스(방배),302호,1인1실,42.53m²,"50,000,000원","750,000원","100,000원",3,2,1,,2025-08-28 09:05:40
북클럭 플레이스(방배),303호,1인1실,41.92m²,"10,000,000원","900,000원","100,000원",3,3,1,,2025-08-28 09:05:40
북클럭 플레이스(방배),304호,1인1실,30.21m²,"20,000,000원","850,000원","100,000원",3,4,1,,2025-08-28 09:05:40
북클럭 플레이스(방배),401호,1인1실,35.66m²,"20,000,000원","1,100,000원","100,000원",4,1,1,,2025-08-28 09:05:40
북클럭 플레이스(방배),501호,1인1실,33.19m²,"20,000,000원","1,000,000원","100,000원",5,1,1,,2025-08-28 09:05:40
북클럭 플레이스(대치),201호,1인1실,39.25m²,"20,000,000원","1,350,000원","150,000원",2,1,1,,2025-08-28 09:05:40
북클럭 플레이스(대치),202호,1인1실,39.25m²,"20,000,000원","1,330,000원","150,000원",2,2,1,,2025-08-28 09:05:40
북클럭 플레이스(대치),203호,1인1실,37.06m²,"20,000,000원","1,250,000원","150,000원",2,3,1,,2025-08-28 09:05:40
북클럭 플레이스(대치),204호,1인1실,37.51m²,"20,000,000원","1,250,000원","150,000원",2,4,1,,2025-08-28 09:05:40
북클럭 플레이스(대치),301호,1인1실,39.25m²,"20,000,000원","1,300,000원","150,000원",3,1,1,,2025-08-28 09:05:40
북클럭 플레이스(대치),302호,1인1실,39.25m²,"10,000,000원","1,400,000원",0원,3,2,1,,2025-08-28 09:05:40
북클럭 플레이스(대치),303호,1인1실,37.06m²,"20,000,000원","1,250,000원","150,000원",3,3,1,,2025-08-28 09:05:40
북클럭 플레이스(대치),304호,1인1실,37.51m²,"20,000,000원","1,350,000원","150,000원",3,4,1,,2025-08-28 09:05:40
북클럭 플레이스(대치),401호,1인1실,39.4m²,"30,000,000원","1,450,000원","150,000원",4,1,1,,2025-08-28 09:05:40
북클럭 플레이스(대치),402호,1인1실,53.91m²,"30,000,000원","1,550,000원","150,000원",4,2,1,,2025-08-28 09:05:40
북클럭 플레이스(대치),501호,1인1실,43.75m²,"30,000,000원","1,400,000원","150,000원",5,1,1,,2025-08-28 09:05:40
북클럭 플레이스(대치),502호,1인1실,55.97m²,"100,000,000원","1,100,000원",0원,5,2,1,,2025-08-28 09:05:40
안녕공동체주택,201,기타,52.39m²,"50,000,000원","600,000원","80,000원",2,1,4,,2025-08-28 09:05:40
안녕공동체주택,202,기타,54.07m²,"50,000,000원","600,000원","80,000원",2,2,3,,2025-08-28 09:05:40
안녕공동체주택,301,기타,52.39m²,"50,000,000원","600,000원","80,000원",3,1,4,,2025-08-28 09:05:40
안녕공동체주택,302,기타,54.07m²,"50,000,000원","600,000원","80,000원",3,2,3,,2025-08-28 09:05:40
안녕공동체주택,401,기타,45.87m²,"50,000,000원","600,000원","80,000원",4,1,3,,2025-08-28 09:05:40
안녕공동체주택,402,기타,46.28m²,"50,000,000원","600,000원","80,000원",4,2,3,,2025-08-28 09:05:40
더클래식하우스,201호,1인1실,33m²,"50,000,000원","500,000원","70,000원",2,1,1,,2025-08-28 09:05:40
더클래식하우스,202호,3인1실,85.59m²,"240,000,000원","330,000원","100,000원",2,2,3,,2025-08-28 09:05:40
더클래식하우스,301호,1인1실,33.32m²,"50,000,000원","500,000원","70,000원",3,1,1,,2025-08-28 09:05:40
더클래식하우스,302호,3인1실,85.83m²,"240,000,000원","340,000원","100,000원",3,2,3,,2025-08-28 09:05:40
더클래식하우스,401호,1인1실,33.32m²,"50,000,000원","500,000원","70,000원",4,1,1,,2025-08-28 09:05:40
더클래식하우스,402호,기타,73.92m²,"240,000,000원","460,000원","100,000원",4,2,4,,2025-08-28 09:05:40
더클래식하우스,501호,1인1실,41.9m²,"194,000,000원",0원,"70,000원",5,1,1,,2025-08-28 09:05:40
INYOURS cheongdam (인유어즈 청담),201호,2인1실,39.62m²,0원,0원,0원,2,201,2,,2025-08-28 09:05:40
INYOURS cheongdam (인유어즈 청담),202호,2인1실,46.43m²,0원,0원,0원,2,202,1,,2025-08-28 09:05:40
INYOURS cheongdam (인유어즈 청담),301호,1인1실,26.51m²,0원,0원,0원,3,301,1,,2025-08-28 09:05:40
INYOURS cheongdam (인유어즈 청담),302호,2인1실,35.22m²,0원,0원,0원,3,302,2,,2025-08-28 09:05:40
INYOURS cheongdam (인유어즈 청담),401호,1인1실,26.02m²,0원,0원,0원,4,401,1,,2025-08-28 09:05:40
INYOURS cheongdam (인유어즈 청담),402호,2인1실,33.75m²,0원,0원,0원,4,402,1,,2025-08-28 09:05:40
INYOURS cheongdam (인유어즈 청담),501호,1인1실,18.66m²,0원,0원,0원,5,501,1,,2025-08-28 09:05:40
봉산아래공동체주택,B01호,1인1실,36.38m²,"7,000,000원","200,000원","70,000원",-1,01,1,2022-05-26,2025-08-28 09:05:40
봉산아래공동체주택,B02호,1인1실,51.29m²,"14,000,000원","200,000원","70,000원",-1,02,1,2022-05-26,2025-08-28 09:05:40
봉산아래공동체주택,101호,1인1실,60.76m²,"70,000,000원","100,000원","70,000원",1,01,1,2022-05-26,2025-08-28 09:05:40
봉산아래공동체주택,201호,1인1실,60.76m²,"14,000,000원","400,000원","70,000원",2,01,1,2022-05-26,2025-08-28 09:05:40
봉산아래공동체주택,202호,1인1실,58.31m²,"49,000,000원","150,000원","70,000원",2,02,1,2022-05-26,2025-08-28 09:05:40
봉산아래공동체주택,301호,기타,87.76m²,"200,000,000원",0원,"70,000원",3,01,3,2022-10-27,2025-08-28 09:05:40
봉산아래공동체주택,302호,기타,85m²,"100,000,000원","500,000원","70,000원",3,02,3,20241020,2025-08-28 09:05:40
사는자리 공동체주택,201호,기타,70.34m²,"10,000,000원","1,000,000원","70,000원",2,1,4,,2025-08-28 09:05:40
사는자리 공동체주택,202,기타,33.54m²,"10,000,000원","500,000원","35,000원",2,2,1,,2025-08-28 09:05:40
사는자리 공동체주택,301,기타,70.53m²,"10,000,000원","1,000,000원","70,000원",3,1,3,,2025-08-28 09:05:40
사는자리 공동체주택,302,기타,65.8m²,"10,000,000원","1,000,000원","70,000원",3,2,2,,2025-08-28 09:05:40
사는자리 공동체주택,401,기타,70.34m²,"10,000,000원","1,000,000원","70,000원",4,1,3,,2025-08-28 09:05:40
사는자리 공동체주택,501,기타,70.35m²,"10,000,000원","1,000,000원","70,000원",5,1,2,,2025-08-28 09:05:40
써드플레이스 홍은7,201,1인1실,25.77m²,"200,000,000원",0원,"80,000원",2,201,1,,2025-08-28 09:05:40
써드플레이스 홍은7,202,1인1실,29.96m²,"235,000,000원",0원,"80,000원",2,202,1,,2025-08-28 09:05:40
써드플레이스 홍은7,301,1인1실,23.6m²,"20,000,000원","760,000원","80,000원",3,301,1,,2025-08-28 09:05:40
써드플레이스 홍은7,302,1인1실,35.41m²,"210,000,000원","280,000원","80,000원",3,302,1,,2025-08-28 09:05:40
써드플레이스 홍은7,401,1인1실,46.64m²,"20,000,000원","1,450,000원","80,000원",4,401,1,,2025-08-28 09:05:40
써드플레이스 홍은7,501,1인1실,34.28m²,"55,000,000원","940,000원","160,000원",5,501,1,,2025-08-28 09:05:40
온음공동체주택,201,기타,85m²,"404,100,000원",0원,"300,000원",2,1,3,,2025-08-28 09:05:40
온음공동체주택,202,기타,85.3m²,"413,100,000원",0원,"300,000원",2,2,4,,2025-08-28 09:05:40
온음공동체주택,301,기타,87.16m²,"398,200,000원",0원,"300,000원",3,1,4,,2025-08-28 09:05:40
온음공동체주택,302,기타,84.08m²,"403,600,000원",0원,"300,000원",3,2,4,,2025-08-28 09:05:40
온음공동체주택,401,기타,124.11m²,"479,200,000원",0원,"300,000원",4,1,5,,2025-08-28 09:05:40
온음공동체주택,402,기타,74.56m²,"303,900,000원",0원,"300,000원",4,2,4,,2025-08-28 09:05:40
온음공동체주택,501,기타,65.24m²,"254,700,000원",0원,"300,000원",5,1,2,,2025-08-28 09:05:40
하담재,201,기타,42.74m²,0원,"600,000원","50,000원",2,201,4,,2025-08-28 09:05:40
하담재,202,기타,55.29m²,0원,"780,000원","50,000원",2,202,4,,2025-08-28 09:05:40
하담재,301,기타,52.94m²,0원,"750,000원","50,000원",3,301,4,,2025-08-28 09:05:40
하담재,401,기타,42.77m²,0원,"620,000원","50,000원",4,301,4,,2025-08-28 09:05:40
하담재,501,기타,50.15m²,0원,"790,000원","50,000원",5,501,4,,2025-08-28 09:05:40
새맘뜰,203호,1인1실,43.37m²,"2,400,000원","800,000원","30,000원",2,3,1,2024년 1월 중,2025-08-28 09:05:40
새맘뜰,402호,기타,56.45m²,"10,000,000원","1,200,000원","50,000원",4,2,1,협의 가능,2025-08-28 09:05:40
셀렉티드 송파점,201,1인1실,17m²,0원,0원,"70,000원",2,1,1,2022-05-31,2025-08-28 09:05:40
셀렉티드 송파점,202,1인1실,17m²,0원,0원,"70,000원",2,2,1,2023-07-01,2025-08-28 09:05:40
셀렉티드 송파점,203,1인1실,17m²,0원,0원,"70,000원",2,3,1,2022-05-31,2025-08-28 09:05:40
셀렉티드 송파점,204,1인1실,17m²,0원,0원,"70,000원",2,4,1,2022-05-31,2025-08-28 09:05:40
셀렉티드 송파점,205,1인1실,17m²,0원,0원,"70,000원",2,5,1,2022-05-31,2025-08-28 09:05:40
셀렉티드 송파점,301,1인1실,17m²,0원,0원,"70,000원",3,1,1,2022-05-31,2025-08-28 09:05:40
셀렉티드 송파점,302,1인1실,17m²,0원,0원,"70,000원",3,2,1,2023-07-1,2025-08-28 09:05:40
셀렉티드 송파점,303,1인1실,17m²,0원,0원,"70,000원",3,3,1,2022-05-31,2025-08-28 09:05:40
셀렉티드 송파점,304,1인1실,17m²,0원,0원,"70,000원",3,4,1,2022-05-31,2025-08-28 09:05:40
셀렉티드 송파점,305,1인1실,17m²,0원,0원,"70,000원",3,5,1,2022-05-31,2025-08-28 09:05:40
셀렉티드 송파점,306,1인1실,18.3m²,0원,0원,"70,000원",3,6,1,2022-05-31,2025-08-28 09:05:40
셀렉티드 송파점,307,1인1실,18.15m²,0원,0원,"70,000원",3,7,1,2022-05-31,2025-08-28 09:05:40
